,Name,College_or_above_percentage,Some_college_percentage,Highschool_percentage,No_highschool_percentage
929,"Cloud County, Kansas",24.0,38.0,32.1,5.9
930,"Coffey County, Kansas",23.6,36.6,33.2,6.5
931,"Comanche County, Kansas",17.3,41.5,37.5,3.8
932,"Cowley County, Kansas",22.7,39.0,29.5,8.8
933,"Crawford County, Kansas",29.5,32.7,31.0,6.9
934,"Decatur County, Kansas",20.2,36.0,37.5,6.3
935,"Dickinson County, Kansas",24.3,36.6,31.4,7.7
936,"Doniphan County, Kansas",20.5,37.9,33.7,8.0
937,"Douglas County, Kansas",51.2,25.6,18.7,4.5
938,"Edwards County, Kansas",20.1,38.6,28.6,12.7
939,"Elk County, Kansas",17.5,31.3,39.6,11.6
940,"Ellis County, Kansas",38.0,31.7,24.7,5.6
941,"Ellsworth County, Kansas",23.7,36.1,31.9,8.3
942,"Finney County, Kansas",17.7,30.3,24.1,27.9
943,"Ford County, Kansas",17.0,31.4,25.5,26.0
944,"Franklin County, Kansas",20.1,34.8,37.4,7.7
945,"Geary County, Kansas",22.8,48.3,23.1,5.8
946,"Gove County, Kansas",19.9,35.2,38.5,6.4
947,"Graham County, Kansas",26.3,32.2,32.3,9.3
948,"Grant County, Kansas",20.5,30.9,28.8,19.7
949,"Gray County, Kansas",23.4,32.4,22.6,21.6
950,"Greeley County, Kansas",26.7,33.6,25.4,14.3
951,"Greenwood County, Kansas",20.1,35.1,37.0,7.8
952,"Hamilton County, Kansas",18.6,20.4,38.0,23.1
953,"Harper County, Kansas",16.4,34.9,39.3,9.3
954,"Harvey County, Kansas",32.0,35.9,23.0,9.0
955,"Haskell County, Kansas",17.5,32.5,22.5,27.5
956,"Hodgeman County, Kansas",32.5,36.8,19.7,11.0
957,"Jackson County, Kansas",20.1,33.6,41.3,5.0
958,"Jefferson County, Kansas",24.5,30.5,38.9,6.1
959,"Jewell County, Kansas",19.9,35.7,38.3,6.1
960,"Johnson County, Kansas",56.1,26.0,14.0,3.9
961,"Kearny County, Kansas",16.7,26.0,35.3,22.0
962,"Kingman County, Kansas",23.7,37.0,32.6,6.7
963,"Kiowa County, Kansas",23.9,34.4,30.5,11.1
964,"Labette County, Kansas",21.6,37.5,30.4,10.4
965,"Lane County, Kansas",22.8,39.4,33.6,4.1
966,"Leavenworth County, Kansas",33.5,31.0,28.5,7.0
967,"Lincoln County, Kansas",25.8,41.3,27.2,5.7
968,"Linn County, Kansas",17.4,33.8,39.9,8.9
969,"Logan County, Kansas",18.4,44.2,28.5,9.0
970,"Lyon County, Kansas",26.9,29.8,31.3,12.0
971,"McPherson County, Kansas",28.8,35.4,27.2,8.6
972,"Marion County, Kansas",28.2,33.7,29.2,8.9
973,"Marshall County, Kansas",19.2,31.0,41.1,8.7
974,"Meade County, Kansas",21.1,38.0,22.9,18.0
975,"Miami County, Kansas",31.2,32.4,32.1,4.4
976,"Mitchell County, Kansas",26.1,39.2,28.9,5.7
977,"Montgomery County, Kansas",20.2,38.7,31.2,9.9
978,"Morris County, Kansas",26.5,30.5,35.5,7.5
979,"Morton County, Kansas",16.3,36.9,31.1,15.6
980,"Nemaha County, Kansas",26.9,29.9,36.4,6.8
981,"Neosho County, Kansas",20.0,39.7,32.3,8.0
982,"Ness County, Kansas",21.9,38.8,31.5,7.9
983,"Norton County, Kansas",19.5,40.2,30.3,10.0
984,"Osage County, Kansas",19.4,32.3,39.3,9.0
985,"Osborne County, Kansas",21.0,40.2,33.4,5.4
986,"Ottawa County, Kansas",23.9,36.5,34.5,5.1
987,"Pawnee County, Kansas",19.0,37.4,34.3,9.3
988,"Phillips County, Kansas",23.2,35.4,34.8,6.6
989,"Pottawatomie County, Kansas",34.4,30.7,29.5,5.4
990,"Pratt County, Kansas",29.5,37.4,24.8,8.3
991,"Rawlins County, Kansas",21.7,44.3,29.2,4.9
992,"Reno County, Kansas",20.0,40.7,29.2,10.1
993,"Republic County, Kansas",28.2,36.8,30.9,4.1
994,"Rice County, Kansas",21.8,40.0,29.8,8.4
995,"Riley County, Kansas",47.2,32.5,16.4,3.8
996,"Rooks County, Kansas",24.3,35.9,28.4,11.4
997,"Rush County, Kansas",21.9,40.1,31.1,7.0
998,"Russell County, Kansas",23.6,41.9,27.5,7.0
999,"Saline County, Kansas",27.2,35.1,29.6,8.0
1000,"Scott County, Kansas",24.8,30.9,27.5,16.8
1001,"Sedgwick County, Kansas",31.4,32.1,26.3,10.2
1002,"Seward County, Kansas",11.2,28.1,30.6,30.1
1003,"Shawnee County, Kansas",31.3,29.7,31.3,7.7
1004,"Sheridan County, Kansas",23.8,35.5,36.3,4.4
1005,"Sherman County, Kansas",21.8,40.1,28.2,9.9
1006,"Smith County, Kansas",21.1,36.2,37.4,5.2
1007,"Stafford County, Kansas",27.9,37.0,28.0,7.1
1008,"Stanton County, Kansas",17.9,29.1,34.6,18.4
1009,"Stevens County, Kansas",12.4,39.1,26.7,21.7
1010,"Sumner County, Kansas",23.6,34.8,34.6,7.1
1011,"Thomas County, Kansas",25.1,45.2,22.8,6.9
1012,"Trego County, Kansas",22.4,42.8,28.9,5.9
1013,"Wabaunsee County, Kansas",24.0,36.0,36.2,3.7
1014,"Wallace County, Kansas",29.4,33.6,31.6,5.3
1015,"Washington County, Kansas",21.0,30.5,41.7,6.8
1016,"Wichita County, Kansas",23.3,38.0,27.3,11.4
1017,"Wilson County, Kansas",19.4,35.0,34.9,10.7
1018,"Woodson County, Kansas",20.0,34.0,38.0,7.9
1019,"Wyandotte County, Kansas",18.3,29.4,32.6,19.7
1020,"Kentucky, Kentucky",25.0,29.5,32.6,12.8
1021,"Adair County, Kentucky",18.4,24.7,39.9,17.0
1022,"Allen County, Kentucky",17.3,26.3,39.9,16.5
1023,"Anderson County, Kentucky",22.7,31.9,35.9,9.5
1024,"Ballard County, Kentucky",15.7,33.7,39.1,11.5
1025,"Barren County, Kentucky",16.2,24.3,43.1,16.3
1026,"Bath County, Kentucky",15.5,20.6,43.2,20.7
1027,"Bell County, Kentucky",9.5,22.4,42.1,26.0
1028,"Boone County, Kentucky",32.2,32.4,29.1,6.3
1029,"Bourbon County, Kentucky",23.0,25.7,36.9,14.4
1030,"Boyd County, Kentucky",20.2,34.4,33.4,12.0
1031,"Boyle County, Kentucky",25.8,28.5,34.4,11.3
1032,"Bracken County, Kentucky",12.5,27.3,47.4,12.8
1033,"Breathitt County, Kentucky",16.1,22.8,38.6,22.5
1034,"Breckinridge County, Kentucky",14.4,29.7,42.3,13.7
1035,"Bullitt County, Kentucky",15.7,31.6,41.5,11.2
1036,"Butler County, Kentucky",14.0,23.1,44.5,18.5
1037,"Caldwell County, Kentucky",16.8,28.8,41.7,12.6
1038,"Calloway County, Kentucky",32.0,27.7,31.1,9.2
1039,"Campbell County, Kentucky",37.5,26.5,28.6,7.4
1040,"Carlisle County, Kentucky",14.3,26.9,44.1,14.7
1041,"Carroll County, Kentucky",7.4,32.0,41.5,19.1
1042,"Carter County, Kentucky",13.8,26.1,39.9,20.1
1043,"Casey County, Kentucky",11.2,22.9,39.7,26.1
1044,"Christian County, Kentucky",18.7,38.0,29.9,13.4
1045,"Clark County, Kentucky",20.1,31.3,35.4,13.2
1046,"Clay County, Kentucky",9.5,19.4,37.7,33.4
1047,"Clinton County, Kentucky",12.3,23.1,40.2,24.4
1048,"Crittenden County, Kentucky",13.6,25.7,45.5,15.2
1049,"Cumberland County, Kentucky",14.9,24.1,43.1,17.9
1050,"Daviess County, Kentucky",24.4,32.7,33.4,9.5
1051,"Edmonson County, Kentucky",10.4,28.4,39.8,21.4
1052,"Elliott County, Kentucky",9.3,21.6,44.9,24.3
1053,"Estill County, Kentucky",11.5,18.9,43.2,26.4
1054,"Fayette County, Kentucky",45.0,28.0,19.0,8.1
1055,"Fleming County, Kentucky",15.3,25.5,38.8,20.4
1056,"Floyd County, Kentucky",11.9,25.6,40.2,22.3
1057,"Franklin County, Kentucky",30.7,29.9,29.6,9.8
1058,"Fulton County, Kentucky",13.4,28.5,38.6,19.6
1059,"Gallatin County, Kentucky",9.6,24.7,48.5,17.3
1060,"Garrard County, Kentucky",20.1,27.3,36.5,16.1
1061,"Grant County, Kentucky",13.8,26.5,46.5,13.3
1062,"Graves County, Kentucky",16.5,30.1,42.1,11.3
1063,"Grayson County, Kentucky",10.9,27.1,44.7,17.3
1064,"Green County, Kentucky",11.6,23.9,41.0,23.6
1065,"Greenup County, Kentucky",16.4,36.3,37.2,10.1
1066,"Hancock County, Kentucky",14.2,28.7,41.9,15.2
1067,"Hardin County, Kentucky",22.0,39.8,29.8,8.3
1068,"Harlan County, Kentucky",10.4,29.6,33.1,26.8
1069,"Harrison County, Kentucky",16.6,27.4,40.0,16.0
1070,"Hart County, Kentucky",11.4,23.6,42.0,22.9
1071,"Henderson County, Kentucky",18.2,31.5,37.2,13.0
1072,"Henry County, Kentucky",12.9,27.7,43.3,16.1
1073,"Hickman County, Kentucky",22.7,24.3,37.8,15.2
1074,"Hopkins County, Kentucky",16.1,31.7,40.1,12.1
1075,"Jackson County, Kentucky",10.2,17.2,44.7,27.9
1076,"Jefferson County, Kentucky",33.9,30.7,26.2,9.2
1077,"Jessamine County, Kentucky",29.2,28.1,30.9,11.8
1078,"Johnson County, Kentucky",15.5,26.4,41.0,17.1
1079,"Kenton County, Kentucky",33.8,29.3,27.9,9.0
1080,"Knott County, Kentucky",15.7,26.8,29.8,27.7
1081,"Knox County, Kentucky",15.1,21.7,39.7,23.5
1082,"Larue County, Kentucky",15.3,32.2,36.2,16.3
1083,"Laurel County, Kentucky",16.1,27.9,37.5,18.5
1084,"Lawrence County, Kentucky",9.2,22.5,43.4,24.8
1085,"Lee County, Kentucky",7.5,23.8,37.7,31.0
1086,"Leslie County, Kentucky",9.4,28.2,40.0,22.4
1087,"Letcher County, Kentucky",10.8,31.0,36.0,22.2
1088,"Lewis County, Kentucky",8.7,26.0,43.0,22.4
1089,"Lincoln County, Kentucky",12.6,25.4,43.0,19.1
1090,"Livingston County, Kentucky",14.5,30.6,41.0,13.9
1091,"Logan County, Kentucky",17.2,26.4,43.5,13.0
1092,"Lyon County, Kentucky",15.5,32.0,42.1,10.3
1093,"McCracken County, Kentucky",25.6,34.4,32.2,7.8
1094,"McCreary County, Kentucky",8.5,28.3,39.4,23.8
1095,"McLean County, Kentucky",14.6,33.5,40.6,11.4
1096,"Madison County, Kentucky",32.1,29.5,26.5,11.9
1097,"Magoffin County, Kentucky",10.5,23.6,37.7,28.3
1098,"Marion County, Kentucky",14.3,25.2,43.6,16.9
1099,"Marshall County, Kentucky",20.8,34.1,35.5,9.7
1100,"Martin County, Kentucky",10.7,30.1,34.3,24.9
1101,"Mason County, Kentucky",21.4,31.6,33.9,13.1
1102,"Meade County, Kentucky",18.4,35.7,36.0,10.0
1103,"Menifee County, Kentucky",11.9,20.4,41.9,25.8
1104,"Mercer County, Kentucky",18.7,31.8,36.2,13.3
1105,"Metcalfe County, Kentucky",13.1,25.8,40.2,21.0
1106,"Monroe County, Kentucky",13.4,24.3,41.7,20.6
1107,"Montgomery County, Kentucky",15.6,28.1,41.0,15.2
1108,"Morgan County, Kentucky",15.0,21.4,41.8,21.8
1109,"Muhlenberg County, Kentucky",13.1,27.8,41.6,17.5
1110,"Nelson County, Kentucky",19.3,36.9,35.9,7.9
1111,"Nicholas County, Kentucky",8.9,26.1,45.4,19.6
1112,"Ohio County, Kentucky",13.0,28.7,40.4,17.9
1113,"Oldham County, Kentucky",43.0,31.6,19.6,5.8
1114,"Owen County, Kentucky",16.3,21.8,43.8,18.1
1115,"Owsley County, Kentucky",14.5,15.3,39.4,30.9
1116,"Pendleton County, Kentucky",14.2,28.0,41.3,16.5
1117,"Perry County, Kentucky",14.3,31.8,33.2,20.6
1118,"Pike County, Kentucky",13.9,24.6,39.8,21.7
1119,"Powell County, Kentucky",17.6,22.8,41.0,18.6
1120,"Pulaski County, Kentucky",16.8,33.1,33.5,16.6
1121,"Robertson County, Kentucky",13.8,31.8,38.8,15.5
1122,"Rockcastle County, Kentucky",12.9,24.6,42.7,19.9
1123,"Rowan County, Kentucky",25.8,27.1,33.3,13.8
1124,"Russell County, Kentucky",15.5,29.6,36.5,18.5
1125,"Scott County, Kentucky",30.4,32.8,29.6,7.3
1126,"Shelby County, Kentucky",28.0,30.4,28.7,13.0
1127,"Simpson County, Kentucky",12.0,29.1,46.5,12.4
1128,"Spencer County, Kentucky",21.4,34.3,36.9,7.4
1129,"Taylor County, Kentucky",23.5,26.9,37.3,12.3
1130,"Todd County, Kentucky",14.5,24.2,40.1,21.2
1131,"Trigg County, Kentucky",19.1,36.7,32.9,11.2
1132,"Trimble County, Kentucky",15.1,23.7,44.9,16.3
1133,"Union County, Kentucky",11.1,34.0,46.8,8.1
1134,"Warren County, Kentucky",32.2,29.3,26.8,11.7
1135,"Washington County, Kentucky",20.3,24.7,42.6,12.4
1136,"Wayne County, Kentucky",13.3,21.3,41.7,23.7
1137,"Webster County, Kentucky",10.4,27.4,47.1,15.0
1138,"Whitley County, Kentucky",20.0,23.1,38.0,19.0
1139,"Wolfe County, Kentucky",6.6,29.5,32.0,31.9
1140,"Woodford County, Kentucky",36.8,26.4,27.8,9.0
1141,"Lousiana, Louisiana",24.9,27.7,33.3,14.1
1142,"Acadia Parish, Louisiana",15.2,23.1,42.4,19.3
1143,"Allen Parish, Louisiana",12.3,26.1,43.4,18.2
1144,"Ascension Parish, Louisiana",27.6,32.2,29.8,10.4
1145,"Assumption Parish, Louisiana",12.9,22.3,40.6,24.3
1146,"Avoyelles Parish, Louisiana",12.3,29.1,37.8,20.7
1147,"Beauregard Parish, Louisiana",18.3,31.8,36.9,13.0
1148,"Bienville Parish, Louisiana",12.3,27.4,44.3,16.1
1149,"Bossier Parish, Louisiana",25.4,36.7,27.9,9.9
1150,"Caddo Parish, Louisiana",24.5,31.0,31.4,13.2
1151,"Calcasieu Parish, Louisiana",21.9,31.9,33.6,12.6
1152,"Caldwell Parish, Louisiana",14.6,18.2,48.3,18.9
1153,"Cameron Parish, Louisiana",16.6,31.3,40.7,11.4
1154,"Catahoula Parish, Louisiana",15.4,20.3,39.1,25.1
1155,"Claiborne Parish, Louisiana",12.8,23.0,43.2,21.0
1156,"Concordia Parish, Louisiana",13.3,27.2,40.1,19.4
1157,"De Soto Parish, Louisiana",14.2,25.9,42.6,17.3
1158,"East Baton Rouge Parish, Louisiana",36.6,27.3,26.3,9.8
1159,"East Carroll Parish, Louisiana",9.3,20.4,41.3,29.1
1160,"East Feliciana Parish, Louisiana",13.2,24.7,41.6,20.5
1161,"Evangeline Parish, Louisiana",12.7,22.3,41.7,23.3
1162,"Franklin Parish, Louisiana",13.2,21.6,41.4,23.8
1163,"Grant Parish, Louisiana",10.0,30.8,43.1,16.2
1164,"Iberia Parish, Louisiana",15.3,24.3,42.3,18.1
1165,"Iberville Parish, Louisiana",16.0,22.8,41.0,20.2
1166,"Jackson Parish, Louisiana",13.5,26.7,42.7,17.1
1167,"Jefferson Parish, Louisiana",27.6,28.6,30.2,13.6
1168,"Jefferson Davis Parish, Louisiana",18.4,22.4,41.1,18.1
1169,"Lafayette Parish, Louisiana",33.1,26.2,29.8,10.9
1170,"Lafourche Parish, Louisiana",16.9,21.5,41.7,19.9
1171,"La Salle Parish, Louisiana",15.6,20.7,43.8,19.9
1172,"Lincoln Parish, Louisiana",35.2,25.9,27.7,11.2
1173,"Livingston Parish, Louisiana",19.6,27.9,39.6,12.9
1174,"Madison Parish, Louisiana",15.1,27.4,32.6,24.9
1175,"Morehouse Parish, Louisiana",12.5,28.3,40.5,18.7
1176,"Natchitoches Parish, Louisiana",19.9,30.0,38.0,12.1
1177,"Orleans Parish, Louisiana",38.0,26.9,22.7,12.3
1178,"Ouachita Parish, Louisiana",25.1,28.2,34.5,12.2
1179,"Plaquemines Parish, Louisiana",18.2,31.8,35.0,15.0
1180,"Pointe Coupee Parish, Louisiana",15.3,27.0,38.9,18.8
1181,"Rapides Parish, Louisiana",21.7,28.5,36.3,13.5
1182,"Red River Parish, Louisiana",13.1,20.3,45.7,20.9
1183,"Richland Parish, Louisiana",15.7,24.1,38.1,22.2
1184,"Sabine Parish, Louisiana",13.1,25.0,47.4,14.6
1185,"St. Bernard Parish, Louisiana",13.9,34.5,32.1,19.4
1186,"St. Charles Parish, Louisiana",28.3,29.1,32.4,10.1
1187,"St. Helena Parish, Louisiana",16.5,22.3,40.3,20.9
1188,"St. James Parish, Louisiana",16.8,28.4,40.5,14.4
1189,"St. John the Baptist Parish, Louisiana",17.2,32.9,35.5,14.4
1190,"St. Landry Parish, Louisiana",15.1,22.3,39.2,23.3
1191,"St. Martin Parish, Louisiana",15.0,23.3,45.0,16.8
1192,"St. Mary Parish, Louisiana",9.8,21.2,51.1,18.0
1193,"St. Tammany Parish, Louisiana",34.3,31.0,25.2,9.5
1194,"Tangipahoa Parish, Louisiana",22.0,25.1,35.0,17.9
1195,"Tensas Parish, Louisiana",18.9,20.1,39.8,21.1
1196,"Terrebonne Parish, Louisiana",15.8,26.0,38.8,19.4
1197,"Union Parish, Louisiana",17.0,23.5,44.5,15.0
1198,"Vermilion Parish, Louisiana",16.2,22.4,41.4,20.0
1199,"Vernon Parish, Louisiana",17.8,30.9,38.9,12.4
1200,"Washington Parish, Louisiana",11.8,26.1,42.7,19.4
1201,"Webster Parish, Louisiana",15.0,28.3,42.4,14.4
1202,"West Baton Rouge Parish, Louisiana",22.7,27.8,36.4,13.2
1203,"West Carroll Parish, Louisiana",11.5,21.0,48.4,19.0
1204,"West Feliciana Parish, Louisiana",23.5,24.9,31.7,20.0
1205,"Winn Parish, Louisiana",16.7,22.7,41.3,19.3
1206,"Maine, Maine",32.5,29.4,31.3,6.8
1207,"Androscoggin County, Maine",22.7,33.0,35.6,8.7
1208,"Aroostook County, Maine",19.8,32.8,37.2,10.2
1209,"Cumberland County, Maine",48.1,25.6,21.6,4.7
1210,"Franklin County, Maine",26.3,28.6,38.7,6.4
1211,"Hancock County, Maine",35.2,28.0,31.6,5.3
1212,"Kennebec County, Maine",29.3,30.5,33.4,6.8
1213,"Knox County, Maine",34.2,27.0,31.9,7.0
1214,"Lincoln County, Maine",36.1,24.6,33.0,6.2
1215,"Oxford County, Maine",20.6,29.8,41.0,8.6
1216,"Penobscot County, Maine",28.6,30.9,33.4,7.1
1217,"Piscataquis County, Maine",18.7,31.4,41.5,8.4
1218,"Sagadahoc County, Maine",37.4,26.7,30.4,5.5
1219,"Somerset County, Maine",17.9,31.0,41.4,9.7
1220,"Waldo County, Maine",31.6,29.4,31.8,7.2
1221,"Washington County, Maine",23.8,29.2,38.0,9.1
1222,"York County, Maine",32.2,32.1,29.5,6.2
1223,"Maryland, Maryland",40.9,25.5,24.2,9.4
1224,"Allegany County, Maryland",19.3,29.9,40.5,10.2
1225,"Anne Arundel County, Maryland",43.0,27.5,22.7,6.8
1226,"Baltimore County, Maryland",39.8,26.6,25.2,8.4
1227,"Calvert County, Maryland",34.2,31.0,29.1,5.7
1228,"Caroline County, Maryland",19.0,26.1,39.2,15.7
1229,"Carroll County, Maryland",37.0,27.4,28.8,6.9
1230,"Cecil County, Maryland",25.3,29.5,35.2,10.0
1231,"Charles County, Maryland",30.0,32.5,31.1,6.4
1232,"Dorchester County, Maryland",19.9,28.7,38.4,13.0
1233,"Frederick County, Maryland",41.7,27.1,23.8,7.4
1234,"Garrett County, Maryland",23.5,24.0,42.7,9.8
1235,"Harford County, Maryland",36.9,30.2,26.0,6.9
1236,"Howard County, Maryland",62.7,19.5,13.3,4.5
1237,"Kent County, Maryland",36.3,21.8,31.2,10.7
1238,"Montgomery County, Maryland",59.2,18.7,13.4,8.6
1239,"Prince George's County, Maryland",34.4,27.5,25.3,12.8
1240,"Queen Anne's County, Maryland",36.5,27.7,29.0,6.8
1241,"St. Mary's County, Maryland",32.0,27.8,30.5,9.6
1242,"Somerset County, Maryland",15.8,30.7,37.1,16.5
1243,"Talbot County, Maryland",39.7,28.3,23.1,8.8
1244,"Washington County, Maryland",22.4,29.8,36.0,11.9
1245,"Wicomico County, Maryland",28.0,26.6,33.1,12.3
1246,"Worcester County, Maryland",29.8,31.6,30.8,7.8
1247,"Baltimore city, Maryland",32.9,24.2,28.5,14.5
1248,"Massachusetts, Massachusetts",44.5,23.0,23.5,8.9
1249,"Barnstable County, Massachusetts",45.0,28.1,22.7,4.2
1250,"Berkshire County, Massachusetts",35.3,27.7,29.8,7.1
1251,"Bristol County, Massachusetts",29.2,26.7,30.3,13.9
1252,"Dukes County, Massachusetts",44.0,28.3,23.4,4.3
1253,"Essex County, Massachusetts",40.6,24.5,24.5,10.3
1254,"Franklin County, Massachusetts",38.3,27.2,28.0,6.6
1255,"Hampden County, Massachusetts",27.4,28.3,30.0,14.2
1256,"Hampshire County, Massachusetts",48.9,23.5,22.6,4.9
1257,"Middlesex County, Massachusetts",57.1,18.1,18.5,6.3
1258,"Nantucket County, Massachusetts",47.5,30.3,17.3,4.9
1259,"Norfolk County, Massachusetts",54.6,20.8,18.7,5.9
1260,"Plymouth County, Massachusetts",38.1,27.2,27.5,7.2
1261,"Suffolk County, Massachusetts",47.7,18.1,21.0,13.1
1262,"Worcester County, Massachusetts",37.1,26.9,27.4,8.7
1263,"Michigan, Michigan",30.0,32.8,28.5,8.7
1264,"Alcona County, Michigan",18.4,32.7,39.0,9.8
1265,"Alger County, Michigan",19.3,25.4,47.5,7.8
1266,"Allegan County, Michigan",23.6,30.8,36.9,8.8
1267,"Alpena County, Michigan",18.0,40.0,34.9,7.1
1268,"Antrim County, Michigan",29.6,32.6,30.9,7.0
1269,"Arenac County, Michigan",12.9,36.1,40.1,11.0
1270,"Baraga County, Michigan",15.2,34.0,40.7,10.1
1271,"Barry County, Michigan",23.0,33.0,37.3,6.6
1272,"Bay County, Michigan",19.7,36.4,34.4,9.5
1273,"Benzie County, Michigan",32.5,32.1,29.2,6.1
1274,"Berrien County, Michigan",27.6,34.4,28.5,9.5
1275,"Branch County, Michigan",15.0,33.0,41.2,10.8
1276,"Calhoun County, Michigan",21.5,33.6,35.8,9.2
1277,"Cass County, Michigan",20.7,35.0,32.6,11.7
1278,"Charlevoix County, Michigan",32.4,33.4,28.1,6.2
1279,"Cheboygan County, Michigan",21.8,32.6,35.7,9.9
1280,"Chippewa County, Michigan",22.6,36.3,33.2,7.8
1281,"Clare County, Michigan",12.1,35.2,38.2,14.5
1282,"Clinton County, Michigan",32.1,36.3,26.8,4.8
1283,"Crawford County, Michigan",19.1,39.4,32.1,9.4
1284,"Delta County, Michigan",19.2,38.4,34.9,7.5
1285,"Dickinson County, Michigan",24.4,37.1,33.2,5.3
1286,"Eaton County, Michigan",29.2,38.7,26.8,5.4
1287,"Emmet County, Michigan",34.7,34.9,25.2,5.2
1288,"Genesee County, Michigan",21.5,37.5,31.9,9.1
1289,"Gladwin County, Michigan",14.3,34.1,39.3,12.3
1290,"Gogebic County, Michigan",19.8,39.6,34.7,5.8
1291,"Grand Traverse County, Michigan",38.4,34.5,22.4,4.6
1292,"Gratiot County, Michigan",16.5,35.2,40.3,7.9
1293,"Hillsdale County, Michigan",18.9,31.9,39.1,10.1
1294,"Houghton County, Michigan",33.6,28.6,30.6,7.2
1295,"Huron County, Michigan",16.0,32.4,41.9,9.7
1296,"Ingham County, Michigan",39.2,32.2,22.0,6.6
1297,"Ionia County, Michigan",17.0,35.5,38.9,8.6
1298,"Iosco County, Michigan",15.4,36.4,36.8,11.3
1299,"Iron County, Michigan",18.9,30.4,42.8,7.9
1300,"Isabella County, Michigan",29.5,30.6,32.3,7.5
1301,"Jackson County, Michigan",22.5,36.1,33.1,8.3
1302,"Kalamazoo County, Michigan",39.8,31.5,22.8,5.9
1303,"Kalkaska County, Michigan",14.4,33.5,40.2,12.0
1304,"Kent County, Michigan",36.8,30.3,24.2,8.6
1305,"Keweenaw County, Michigan",36.2,30.0,30.9,2.9
1306,"Lake County, Michigan",13.5,31.5,37.9,17.0
1307,"Lapeer County, Michigan",18.3,36.7,36.2,8.8
1308,"Leelanau County, Michigan",46.7,28.6,20.6,4.1
1309,"Lenawee County, Michigan",21.1,32.8,37.2,9.0
1310,"Livingston County, Michigan",36.5,32.9,26.1,4.5
1311,"Luce County, Michigan",19.6,34.9,35.4,10.2
1312,"Mackinac County, Michigan",24.0,32.4,34.3,9.4
1313,"Macomb County, Michigan",25.9,35.1,29.5,9.5
1314,"Manistee County, Michigan",22.3,34.7,33.6,9.5
1315,"Marquette County, Michigan",34.0,32.2,29.4,4.5
1316,"Mason County, Michigan",22.0,34.0,35.4,8.6
1317,"Mecosta County, Michigan",22.9,32.0,36.5,8.5
1318,"Menominee County, Michigan",17.6,33.6,42.4,6.4
1319,"Midland County, Michigan",34.8,30.6,29.1,5.6
1320,"Missaukee County, Michigan",15.8,33.8,41.1,9.4
1321,"Monroe County, Michigan",21.0,36.2,34.1,8.6
1322,"Montcalm County, Michigan",14.5,35.1,39.8,10.7
1323,"Montmorency County, Michigan",14.8,32.4,41.4,11.5
1324,"Muskegon County, Michigan",19.7,38.0,33.6,8.6
1325,"Newaygo County, Michigan",17.2,30.9,41.3,10.6
1326,"Oakland County, Michigan",48.0,28.0,18.4,5.6
1327,"Oceana County, Michigan",19.6,31.4,36.9,12.0
1328,"Ogemaw County, Michigan",12.3,37.5,36.9,13.3
1329,"Ontonagon County, Michigan",15.3,33.3,44.1,7.4
1330,"Osceola County, Michigan",15.0,31.9,42.0,11.1
1331,"Oscoda County, Michigan",12.0,33.9,36.2,17.9
1332,"Otsego County, Michigan",25.6,35.7,32.0,6.8
1333,"Ottawa County, Michigan",35.1,31.2,27.2,6.6
1334,"Presque Isle County, Michigan",18.8,34.9,36.5,9.9
1335,"Roscommon County, Michigan",16.3,37.2,36.6,10.0
1336,"Saginaw County, Michigan",22.1,35.5,32.7,9.7
1337,"St. Clair County, Michigan",19.1,38.7,33.6,8.6
1338,"St. Joseph County, Michigan",16.0,34.3,36.2,13.5
1339,"Sanilac County, Michigan",14.8,33.0,41.8,10.5
1340,"Schoolcraft County, Michigan",18.9,29.2,41.6,10.3
1341,"Shiawassee County, Michigan",17.8,38.7,36.0,7.5
1342,"Tuscola County, Michigan",13.5,33.5,43.1,9.9
1343,"Van Buren County, Michigan",20.8,34.6,32.0,12.6
1344,"Washtenaw County, Michigan",56.7,24.3,14.7,4.3
1345,"Wayne County, Michigan",25.2,32.7,29.2,12.8
1346,"Wexford County, Michigan",19.7,35.0,35.1,10.1
1347,"Minnesota, Minnesota",36.8,32.4,24.2,6.6
1348,"Aitkin County, Minnesota",18.4,38.1,35.6,7.9
1349,"Anoka County, Minnesota",30.4,35.9,27.9,5.8
1350,"Becker County, Minnesota",25.7,37.9,29.4,7.0
1351,"Beltrami County, Minnesota",29.9,34.5,27.8,7.7
1352,"Benton County, Minnesota",23.1,38.8,29.4,8.7
1353,"Big Stone County, Minnesota",18.2,32.4,41.6,7.8
1354,"Blue Earth County, Minnesota",34.6,32.8,27.3,5.4
1355,"Brown County, Minnesota",22.6,34.5,35.8,7.1
1356,"Carlton County, Minnesota",22.6,39.8,31.9,5.7
1357,"Carver County, Minnesota",49.1,29.9,17.4,3.6
1358,"Cass County, Minnesota",25.0,36.0,32.3,6.6
1359,"Chippewa County, Minnesota",19.7,36.8,32.6,10.9
1360,"Chisago County, Minnesota",22.2,40.0,33.1,4.6
1361,"Clay County, Minnesota",34.2,38.0,23.0,4.7
1362,"Clearwater County, Minnesota",17.6,31.9,36.1,14.5
1363,"Cook County, Minnesota",45.2,29.5,22.3,3.0
1364,"Cottonwood County, Minnesota",20.7,35.2,34.2,9.9
1365,"Crow Wing County, Minnesota",26.2,38.6,29.6,5.7
1366,"Dakota County, Minnesota",42.6,32.5,19.8,5.0
